0.0154	311733
0.0192	245457
0.0038	817117
0.1	48645
0.0077	571285
0.0423	122385
0.0808	62521
0.0385	134528
0.1038	46308
0.0346	145763
0.2038	21776
0.0962	51029
0.1923	23604
0.2192	20302
0.5192	8132
0.0115	387324
0.5231	8128
0.0615	82673
0.1654	27201
0.0577	87857
0.0846	60396
0.0231	214459
0.1115	42715
0.0731	69280
0.3077	14454
0.2423	17991
0.0769	66504
0.0654	77346
0.5269	7981
0.5923	7328
0.3115	14096
0.5808	7487
0.0308	163734
0.0885	56658
0.4385	9595
0.5308	8267
0.5385	8012
0.6154	7211
0.3038	14331
0.5077	8433
0.5038	8232
0.05	101903
0.6462	6810
0.1154	40809
0.3692	11708
0.0923	54533
0.2923	15344
0.2538	17150
0.1269	36845
0.9115	203
0.0462	113234
0.0269	184290
0.1192	39222
0.7038	8054
0.0538	95054
0.1885	23654
0.1846	24414
0.6	7274
0.4115	10365
0.9	452
0.8346	4554
0.4846	8840
0.7231	8772
0.3154	13775
0.6077	7149
0.5423	7803
0.5154	8220
0.0692	73836
0.1577	28645
0.6692	7351
0.8423	3814
0.3923	10940
0.2346	18429
0.1692	26149
0.2577	16968
0.5538	7887
0.1538	29451
0.55	7723
0.45	9520
0.2308	18918
0.2077	21885
0.6731	7477
0.3962	10987
0.1077	44652
0.3462	12784
0.8615	2612
0.3192	13713
0.1231	38321
0.8462	3753
0.6923	7874
0.8654	2066
0.2654	16390
0.2692	16305
0.3308	13298
0.35	12381
0.8538	3252
0.7538	8720
0.7308	9088
0.7846	7226
0.8192	5223
0.9231	199
0.2462	17814
0.25	17327
0.2885	15516
0.7962	6615
0.9192	145
0.3538	12244
0.3731	11408
0.3346	13005
0.3577	11983
0.1962	23044
0.5115	7970
0.1808	24763
0.5346	7890
0.8385	4456
0.3769	11343
0.9385	91
0.7577	8582
0.1615	27787
0.8769	1623
0.8154	5694
0.7115	8232
0.1462	31543
0.2269	19223
0.4423	9698
0.4538	9395
0.2731	15971
0.9154	291
0.8731	1518
0.75	8711
0.3231	13562
0.2	22655
0.5962	7039
0.4077	10333
0.3615	11925
0.6192	7220
0.2615	16969
0.2808	15852
0.1385	33551
0.85	3236
0.2154	20654
0.65	7009
0.7154	8566
0.4885	8574
0.6769	7404
0.3269	13380
0.8038	6126
0.4615	8956
0.1308	35474
0.8231	5184
0.8115	5653
0.6615	7134
0.6538	7131
0.2846	15599
0.2962	14807
0.3	14829
0.7923	6983
0.5	8472
0.4923	8645
0.5731	7270
0.7462	8900
0.7615	8496
0.15	29816
0.4808	8634
0.7769	7689
0.3385	12897
0.6038	7215
0.6808	7408
0.7423	8941
0.5654	7645
0.8308	4821
0.1423	32141
0.2231	19428
0.1769	25525
0.4192	10206
0.6654	7153
0.2385	18368
0.6577	6809
0.4231	10052
0.8077	5906
0.1346	34707
0.2115	21329
0.5577	7769
0.1731	25767
0.6885	7639
0.7654	8060
0.6385	7008
0.2769	16195
0.7808	7214
0.3654	11814
0.6346	7037
0.4462	9433
0.7077	8064
0.4346	9732
0.4577	9223
0.8923	635
0.4308	9928
0.95	21
0.9654	9
0.8808	940
0.8	6429
0.8846	1059
0.8885	557
0.8269	4902
0.3846	11163
0.6308	7133
0.8692	2111
0.7731	7648
0.5462	7859
0.7385	9158
0.7	7951
0.7346	9079
0.7692	8004
0.8962	381
0.8577	2769
0.3808	11248
0.5615	7720
0.5846	7406
0.7885	6935
0.4269	9839
0.6269	7137
0.6115	7092
0.7192	8590
0.6423	6977
0.6846	7657
0.5769	7286
0.6231	7409
0.4962	8443
0.4038	10413
0.4654	8974
0.5885	7330
0.3423	12742
0.4769	8693
0.6962	7952
0.4	10653
0.3885	10879
0.4154	10080
0.4692	9092
0.4731	8930
0.5692	7363
0.7269	8866
0.9077	346
0.9038	301
0.9269	91
0.9308	165
0.9423	25
0.9462	55
0.9346	59
0.9538	26
0.9615	17
0.9692	12
0.9577	8
0.9769	7
0.9731	1
