task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	c6/8bc20c	36748016	NF_VEP:vep:checkVCF (1)	COMPLETED	0	2025-03-24 15:06:34.048	30.6s	402ms	26.9%	3.5 MB	7.4 MB	3.2 MB	43.4 KB
2	ff/356b5b	36748155	NF_VEP:vep:generateSplits (1)	COMPLETED	0	2025-03-24 15:07:05.350	2m 14s	1m 55s	82.6%	22.4 MB	70.6 MB	2.6 GB	2.3 GB
3	36/ad2876	36748815	NF_VEP:vep:splitVCF (1)	COMPLETED	0	2025-03-24 15:09:20.268	1m 14s	58s	97.9%	24.5 MB	65.4 MB	1 GB	4.4 MB
24	c8/86cc67	36748865	NF_VEP:vep:splitVCF (22)	COMPLETED	0	2025-03-24 15:09:26.055	1m 9s	1m 4s	93.5%	24.5 MB	65.4 MB	1 GB	3.9 MB
22	6e/1a5004	36748862	NF_VEP:vep:splitVCF (20)	COMPLETED	0	2025-03-24 15:09:25.821	1m 9s	1m 4s	93.4%	24.4 MB	65.4 MB	1 GB	3.5 MB
26	f3/a5b859	36748868	NF_VEP:vep:splitVCF (24)	COMPLETED	0	2025-03-24 15:09:26.398	1m 8s	1m 4s	97.1%	24.5 MB	65.4 MB	1 GB	3.6 MB
31	56/9629ea	36748872	NF_VEP:vep:splitVCF (29)	COMPLETED	0	2025-03-24 15:09:26.988	1m 8s	1m 1s	95.3%	24.5 MB	67.4 MB	1 GB	3.2 MB
52	39/551cb3	36748898	NF_VEP:vep:splitVCF (50)	COMPLETED	0	2025-03-24 15:09:30.543	1m 9s	1m 2s	96.9%	24.4 MB	65.4 MB	1 GB	3.9 MB
51	32/b86030	36748899	NF_VEP:vep:splitVCF (49)	COMPLETED	0	2025-03-24 15:09:30.676	1m 9s	1m 4s	96.9%	24.5 MB	65.4 MB	1 GB	4.4 MB
54	f8/fe4559	36748900	NF_VEP:vep:splitVCF (52)	COMPLETED	0	2025-03-24 15:09:30.870	1m 9s	1m 3s	96.9%	24.6 MB	65.4 MB	1 GB	3.8 MB
78	2d/708fb4	36749003	NF_VEP:vep:splitVCF (76)	COMPLETED	0	2025-03-24 15:09:35.160	1m 14s	1m	97.9%	24.5 MB	65.4 MB	1 GB	3.5 MB
83	60/ba9608	36749007	NF_VEP:vep:splitVCF (81)	COMPLETED	0	2025-03-24 15:09:35.794	1m 14s	58s	97.3%	24.6 MB	66.4 MB	1 GB	3.5 MB
85	3f/207b85	36749009	NF_VEP:vep:splitVCF (83)	COMPLETED	0	2025-03-24 15:09:36.114	1m 14s	1m 2s	97.5%	24.4 MB	65.4 MB	1 GB	3.9 MB
92	75/89b5e4	36749015	NF_VEP:vep:splitVCF (90)	COMPLETED	0	2025-03-24 15:09:37.070	1m 13s	1m 2s	92.1%	24.7 MB	65.4 MB	1 GB	5 MB
91	58/aca0eb	36749016	NF_VEP:vep:splitVCF (89)	COMPLETED	0	2025-03-24 15:09:37.220	1m 13s	1m 2s	91.7%	24.5 MB	65.4 MB	1 GB	3.7 MB
93	c9/262c22	36749017	NF_VEP:vep:splitVCF (91)	COMPLETED	0	2025-03-24 15:09:37.383	1m 12s	1m 2s	91.7%	24.6 MB	65.4 MB	1 GB	3.8 MB
95	dd/972867	36749018	NF_VEP:vep:splitVCF (93)	COMPLETED	0	2025-03-24 15:09:37.534	1m 12s	1m 7s	97.3%	24.3 MB	65.4 MB	1 GB	4.8 MB
94	7b/d64afd	36749019	NF_VEP:vep:splitVCF (92)	COMPLETED	0	2025-03-24 15:09:37.686	1m 12s	1m 6s	97.4%	24.2 MB	65.4 MB	1 GB	3.6 MB
97	6c/8f9ab5	36749020	NF_VEP:vep:splitVCF (95)	COMPLETED	0	2025-03-24 15:09:37.842	1m 12s	58s	97.5%	24.5 MB	65.4 MB	1 GB	3.7 MB
96	82/f961c1	36749021	NF_VEP:vep:splitVCF (94)	COMPLETED	0	2025-03-24 15:09:37.999	1m 12s	58s	97.5%	24.5 MB	65.4 MB	1 GB	4.1 MB
98	c8/8c209c	36749022	NF_VEP:vep:splitVCF (96)	COMPLETED	0	2025-03-24 15:09:38.167	1m 12s	1m 1s	93.4%	24.3 MB	65.4 MB	1 GB	3.9 MB
99	15/82b615	36749030	NF_VEP:vep:splitVCF (97)	COMPLETED	0	2025-03-24 15:09:38.308	1m 12s	1m 1s	93.1%	24.4 MB	65.4 MB	1 GB	3.5 MB
100	74/3591f1	36749031	NF_VEP:vep:splitVCF (98)	COMPLETED	0	2025-03-24 15:09:38.476	1m 11s	1m 1s	93.1%	24.4 MB	67.4 MB	1 GB	3.6 MB
101	eb/9f9e85	36749032	NF_VEP:vep:splitVCF (99)	COMPLETED	0	2025-03-24 15:09:38.642	1m 11s	1m 1s	93.3%	24.6 MB	65.4 MB	1 GB	3.4 MB
102	ea/cdc9b1	36749033	NF_VEP:vep:splitVCF (100)	COMPLETED	0	2025-03-24 15:09:38.888	1m 11s	1m 5s	97.2%	24.4 MB	65.4 MB	1 GB	3.3 MB
5	6b/3f1ba0	36748817	NF_VEP:vep:splitVCF (3)	COMPLETED	0	2025-03-24 15:09:20.785	1m 44s	1m 8s	87.9%	24.4 MB	65.4 MB	1 GB	3.8 MB
4	e6/4ee69e	36748816	NF_VEP:vep:splitVCF (2)	COMPLETED	0	2025-03-24 15:09:20.524	1m 44s	58s	98.1%	24.6 MB	65.4 MB	1 GB	3.9 MB
6	51/07eebe	36748818	NF_VEP:vep:splitVCF (4)	COMPLETED	0	2025-03-24 15:09:21.088	1m 44s	1m 8s	87.9%	24.4 MB	65.4 MB	1 GB	3.9 MB
7	8f/5fbd04	36748819	NF_VEP:vep:splitVCF (5)	COMPLETED	0	2025-03-24 15:09:21.386	1m 43s	1m 8s	87.9%	24.4 MB	65.4 MB	1 GB	3.9 MB
8	62/bafbb7	36748820	NF_VEP:vep:splitVCF (6)	COMPLETED	0	2025-03-24 15:09:21.636	1m 43s	58s	98.1%	24.5 MB	65.4 MB	1 GB	3.8 MB
10	d4/f07718	36748821	NF_VEP:vep:splitVCF (8)	COMPLETED	0	2025-03-24 15:09:21.933	1m 43s	1m 2s	98.2%	24.6 MB	65.4 MB	1 GB	3.6 MB
9	73/ec382f	36748824	NF_VEP:vep:splitVCF (7)	COMPLETED	0	2025-03-24 15:09:22.225	1m 43s	1m	98.2%	24.5 MB	65.4 MB	1 GB	3.8 MB
11	36/3d6b9f	36748825	NF_VEP:vep:splitVCF (9)	COMPLETED	0	2025-03-24 15:09:22.505	1m 42s	1m 7s	94.0%	24.4 MB	65.4 MB	1 GB	3.8 MB
12	6a/ad5f22	36748827	NF_VEP:vep:splitVCF (10)	COMPLETED	0	2025-03-24 15:09:22.806	1m 42s	1m 3s	97.8%	24.5 MB	65.4 MB	1 GB	3.6 MB
19	79/73c0b7	36748845	NF_VEP:vep:splitVCF (17)	COMPLETED	0	2025-03-24 15:09:24.759	1m 40s	1m 6s	97.3%	24.4 MB	65.4 MB	1 GB	3.9 MB
20	fa/29527f	36748846	NF_VEP:vep:splitVCF (18)	COMPLETED	0	2025-03-24 15:09:25.030	1m 40s	1m 2s	97.7%	24.5 MB	65.4 MB	1 GB	3.3 MB
21	5e/e32c86	36748847	NF_VEP:vep:splitVCF (19)	COMPLETED	0	2025-03-24 15:09:25.323	1m 40s	1m 1s	98.1%	24.7 MB	65.4 MB	1 GB	3.9 MB
23	39/a692d4	36748848	NF_VEP:vep:splitVCF (21)	COMPLETED	0	2025-03-24 15:09:25.557	1m 39s	58s	98.0%	24.3 MB	65.4 MB	1 GB	3.6 MB
25	88/6c1c82	36748867	NF_VEP:vep:splitVCF (23)	COMPLETED	0	2025-03-24 15:09:26.240	1m 39s	1m 2s	98.3%	24.6 MB	65.4 MB	1 GB	3.9 MB
27	47/5dbfbc	36748869	NF_VEP:vep:splitVCF (25)	COMPLETED	0	2025-03-24 15:09:26.542	1m 38s	59s	98.4%	24.4 MB	65.4 MB	1 GB	4.1 MB
29	9a/5ca86b	36748870	NF_VEP:vep:splitVCF (27)	COMPLETED	0	2025-03-24 15:09:26.717	1m 38s	58s	98.5%	24.4 MB	65.4 MB	1 GB	3.5 MB
28	12/363fcb	36748871	NF_VEP:vep:splitVCF (26)	COMPLETED	0	2025-03-24 15:09:26.848	1m 38s	58s	98.3%	24.4 MB	65.4 MB	1 GB	3.7 MB
