task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	2f/586236	161688	NF_VEP:vep:checkVCF (1)	COMPLETED	0	2025-03-10 12:25:51.614	1.3s	493ms	19.1%	3.4 MB	16.1 MB	4.6 MB	251.8 KB
2	38/b0a80d	161778	NF_VEP:vep:generateSplits (1)	COMPLETED	0	2025-03-10 12:25:53.419	6m 25s	6m 24s	97.3%	24.8 MB	127.1 MB	13 GB	2 GB
4	06/495d5c	171168	NF_VEP:vep:splitVCF (2)	COMPLETED	0	2025-03-10 12:32:18.499	15m 36s	15m 35s	98.4%	29 MB	110.1 MB	11.7 GB	36.6 MB
3	4d/2998a5	185429	NF_VEP:vep:splitVCF (1)	COMPLETED	0	2025-03-10 12:47:54.556	15m 56s	15m 55s	98.7%	29.2 MB	110.1 MB	11.7 GB	36.6 MB
5	c4/25cde0	247194	NF_VEP:vep:splitVCF (3)	COMPLETED	0	2025-03-10 13:03:50.426	15m 47s	15m 47s	98.7%	28.9 MB	110.1 MB	11.7 GB	36.5 MB
6	f7/a08787	306218	NF_VEP:vep:splitVCF (4)	COMPLETED	0	2025-03-10 13:19:37.586	15m 47s	15m 47s	98.7%	29.1 MB	110.1 MB	11.7 GB	37.4 MB
7	ca/ddccd8	365489	NF_VEP:vep:splitVCF (5)	COMPLETED	0	2025-03-10 13:35:24.986	15m 46s	15m 46s	98.7%	29.1 MB	110.1 MB	11.7 GB	37.3 MB
8	e9/150d3a	415102	NF_VEP:vep:splitVCF (6)	COMPLETED	0	2025-03-10 13:51:11.320	15m 33s	15m 33s	98.8%	29.1 MB	110.1 MB	11.7 GB	37.4 MB
9	96/65788f	424992	NF_VEP:vep:splitVCF (7)	COMPLETED	0	2025-03-10 14:06:44.767	15m 38s	15m 37s	98.8%	27.6 MB	110.1 MB	11.7 GB	37.7 MB
10	6d/7816f6	434928	NF_VEP:vep:splitVCF (8)	COMPLETED	0	2025-03-10 14:22:22.827	15m 45s	15m 44s	98.8%	29.1 MB	110.1 MB	11.7 GB	37.5 MB
11	25/2a2c9b	445187	NF_VEP:vep:splitVCF (9)	COMPLETED	0	2025-03-10 14:38:07.730	15m 13s	15m 13s	98.8%	27.4 MB	110.1 MB	11.7 GB	37.8 MB
12	7f/7a835a	456492	NF_VEP:vep:splitVCF (10)	COMPLETED	0	2025-03-10 14:53:21.100	13m 15s	13m 15s	98.9%	29.1 MB	110.1 MB	11.7 GB	36.9 MB
13	0a/8f99cf	495585	NF_VEP:vep:splitVCF (11)	COMPLETED	0	2025-03-10 15:06:36.231	13m 14s	13m 13s	98.9%	29.2 MB	110.1 MB	11.7 GB	37.2 MB
14	11/9cf8e7	522022	NF_VEP:vep:splitVCF (12)	COMPLETED	0	2025-03-10 15:19:50.154	13m 21s	13m 20s	98.8%	27.4 MB	110.1 MB	11.7 GB	37.3 MB
15	58/72a98c	540472	NF_VEP:vep:splitVCF (13)	COMPLETED	0	2025-03-10 15:33:11.047	13m 16s	13m 16s	98.8%	29 MB	110.1 MB	11.7 GB	37.2 MB
16	71/198db4	550915	NF_VEP:vep:splitVCF (14)	COMPLETED	0	2025-03-10 15:46:27.505	13m 47s	13m 46s	99.0%	27.5 MB	110.1 MB	11.7 GB	37.2 MB
17	41/9abeda	560150	NF_VEP:vep:splitVCF (15)	COMPLETED	0	2025-03-10 16:00:14.558	15m 49s	15m 49s	98.8%	27.6 MB	110.1 MB	11.7 GB	37.5 MB
19	45/1f0807	569868	NF_VEP:vep:splitVCF (17)	COMPLETED	0	2025-03-10 16:16:03.811	15m 53s	15m 52s	98.8%	29.1 MB	110.1 MB	11.7 GB	37 MB
18	64/fdb528	579731	NF_VEP:vep:splitVCF (16)	COMPLETED	0	2025-03-10 16:31:56.600	15m 51s	15m 50s	98.8%	27.4 MB	110.1 MB	11.7 GB	37.4 MB
20	5d/5cbf45	589825	NF_VEP:vep:splitVCF (18)	COMPLETED	0	2025-03-10 16:47:47.431	15m 50s	15m 50s	98.8%	28.9 MB	110.1 MB	11.7 GB	37.4 MB
21	31/a5f386	599644	NF_VEP:vep:splitVCF (19)	COMPLETED	0	2025-03-10 17:03:37.795	15m 51s	15m 50s	98.8%	27.6 MB	110.1 MB	11.7 GB	36.9 MB
22	b4/960a67	609519	NF_VEP:vep:splitVCF (20)	COMPLETED	0	2025-03-10 17:19:28.773	14m 52s	14m 52s	98.8%	29.2 MB	110.1 MB	11.7 GB	36.7 MB
23	37/5c2f8c	619542	NF_VEP:vep:splitVCF (21)	COMPLETED	0	2025-03-10 17:34:20.808	13m 14s	13m 13s	99.0%	27.7 MB	110.1 MB	11.7 GB	36.7 MB
24	68/1f0eb2	628596	NF_VEP:vep:splitVCF (22)	COMPLETED	0	2025-03-10 17:47:34.702	13m 14s	13m 14s	98.9%	27.6 MB	110.1 MB	11.7 GB	37.3 MB
26	20/b7c713	637501	NF_VEP:vep:splitVCF (24)	COMPLETED	0	2025-03-10 18:00:48.910	13m 18s	13m 18s	98.8%	28.9 MB	110.1 MB	11.7 GB	36.6 MB
25	61/4c1885	663482	NF_VEP:vep:splitVCF (23)	COMPLETED	0	2025-03-10 18:14:06.944	13m 18s	13m 18s	98.8%	27.8 MB	111.1 MB	11.7 GB	36.2 MB
27	ca/ac95db	676646	NF_VEP:vep:splitVCF (25)	COMPLETED	0	2025-03-10 18:27:25.490	13m 16s	13m 15s	98.8%	29.2 MB	110.1 MB	11.7 GB	36.1 MB
28	00/b94b2a	691851	NF_VEP:vep:splitVCF (26)	COMPLETED	0	2025-03-10 18:40:41.226	13m 14s	13m 14s	98.9%	29.3 MB	110.1 MB	11.7 GB	36.5 MB
29	c4/1d4ad8	703746	NF_VEP:vep:splitVCF (27)	COMPLETED	0	2025-03-10 18:53:55.480	13m 16s	13m 16s	99.0%	27.6 MB	110.1 MB	11.7 GB	36.3 MB
30	6e/853dc2	712305	NF_VEP:vep:splitVCF (28)	COMPLETED	0	2025-03-10 19:07:11.595	13m 12s	13m 12s	98.9%	29.2 MB	110.1 MB	11.7 GB	36.8 MB
31	72/ac5da1	721618	NF_VEP:vep:splitVCF (29)	COMPLETED	0	2025-03-10 19:20:23.806	13m 11s	13m 10s	99.0%	29.2 MB	110.1 MB	11.7 GB	36.2 MB
32	a9/5c8dda	730695	NF_VEP:vep:splitVCF (30)	COMPLETED	0	2025-03-10 19:33:34.810	13m 12s	13m 11s	99.0%	27.7 MB	110.1 MB	11.7 GB	36.5 MB
33	5d/02b61f	739206	NF_VEP:vep:splitVCF (31)	COMPLETED	0	2025-03-10 19:46:46.808	13m 14s	13m 14s	99.0%	27.4 MB	110.1 MB	11.7 GB	36.6 MB
34	c5/b21d16	748151	NF_VEP:vep:splitVCF (32)	COMPLETED	0	2025-03-10 20:00:01.013	13m 12s	13m 12s	99.0%	29.2 MB	110.1 MB	11.7 GB	36.3 MB
35	a6/5b0546	757451	NF_VEP:vep:splitVCF (33)	COMPLETED	0	2025-03-10 20:13:13.157	13m 12s	13m 12s	99.0%	27.6 MB	112.1 MB	11.7 GB	36.3 MB
36	cc/6c7b06	770362	NF_VEP:vep:splitVCF (34)	COMPLETED	0	2025-03-10 20:26:25.495	13m 15s	13m 15s	98.9%	29 MB	110.1 MB	11.7 GB	36.3 MB
37	3f/5ce1ae	780097	NF_VEP:vep:splitVCF (35)	COMPLETED	0	2025-03-10 20:39:41.024	13m 12s	13m 12s	99.0%	27.6 MB	110.1 MB	11.7 GB	36.6 MB
38	31/614aa4	788524	NF_VEP:vep:splitVCF (36)	COMPLETED	0	2025-03-10 20:52:53.315	13m 11s	13m 11s	99.0%	27.5 MB	110.1 MB	11.7 GB	36.1 MB
