task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	2f/586236	161688	NF_VEP:vep:checkVCF (1)	CACHED	0	2025-03-10 12:25:51.614	1.3s	493ms	19.1%	3.4 MB	16.1 MB	4.6 MB	251.8 KB
2	38/b0a80d	161778	NF_VEP:vep:generateSplits (1)	CACHED	0	2025-03-10 12:25:53.419	6m 25s	6m 24s	97.3%	24.8 MB	127.1 MB	13 GB	2 GB
4	06/495d5c	171168	NF_VEP:vep:splitVCF (2)	CACHED	0	2025-03-10 12:32:18.499	15m 36s	15m 35s	98.4%	29 MB	110.1 MB	11.7 GB	36.6 MB
3	4d/2998a5	185429	NF_VEP:vep:splitVCF (1)	CACHED	0	2025-03-10 12:47:54.556	15m 56s	15m 55s	98.7%	29.2 MB	110.1 MB	11.7 GB	36.6 MB
5	c4/25cde0	247194	NF_VEP:vep:splitVCF (3)	CACHED	0	2025-03-10 13:03:50.426	15m 47s	15m 47s	98.7%	28.9 MB	110.1 MB	11.7 GB	36.5 MB
7	f7/a08787	306218	NF_VEP:vep:splitVCF (4)	CACHED	0	2025-03-10 13:19:37.586	15m 47s	15m 47s	98.7%	29.1 MB	110.1 MB	11.7 GB	37.4 MB
8	ca/ddccd8	365489	NF_VEP:vep:splitVCF (5)	CACHED	0	2025-03-10 13:35:24.986	15m 46s	15m 46s	98.7%	29.1 MB	110.1 MB	11.7 GB	37.3 MB
10	e9/150d3a	415102	NF_VEP:vep:splitVCF (6)	CACHED	0	2025-03-10 13:51:11.320	15m 33s	15m 33s	98.8%	29.1 MB	110.1 MB	11.7 GB	37.4 MB
12	96/65788f	424992	NF_VEP:vep:splitVCF (7)	CACHED	0	2025-03-10 14:06:44.767	15m 38s	15m 37s	98.8%	27.6 MB	110.1 MB	11.7 GB	37.7 MB
14	6d/7816f6	434928	NF_VEP:vep:splitVCF (8)	CACHED	0	2025-03-10 14:22:22.827	15m 45s	15m 44s	98.8%	29.1 MB	110.1 MB	11.7 GB	37.5 MB
16	25/2a2c9b	445187	NF_VEP:vep:splitVCF (9)	CACHED	0	2025-03-10 14:38:07.730	15m 13s	15m 13s	98.8%	27.4 MB	110.1 MB	11.7 GB	37.8 MB
18	7f/7a835a	456492	NF_VEP:vep:splitVCF (10)	CACHED	0	2025-03-10 14:53:21.100	13m 15s	13m 15s	98.9%	29.1 MB	110.1 MB	11.7 GB	36.9 MB
20	0a/8f99cf	495585	NF_VEP:vep:splitVCF (11)	CACHED	0	2025-03-10 15:06:36.231	13m 14s	13m 13s	98.9%	29.2 MB	110.1 MB	11.7 GB	37.2 MB
24	58/72a98c	540472	NF_VEP:vep:splitVCF (13)	CACHED	0	2025-03-10 15:33:11.047	13m 16s	13m 16s	98.8%	29 MB	110.1 MB	11.7 GB	37.2 MB
21	11/9cf8e7	522022	NF_VEP:vep:splitVCF (12)	CACHED	0	2025-03-10 15:19:50.154	13m 21s	13m 20s	98.8%	27.4 MB	110.1 MB	11.7 GB	37.3 MB
25	71/198db4	550915	NF_VEP:vep:splitVCF (14)	CACHED	0	2025-03-10 15:46:27.505	13m 47s	13m 46s	99.0%	27.5 MB	110.1 MB	11.7 GB	37.2 MB
