task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	96/4d359f	33163152	NF_VEP:vep:checkVCF (1)	COMPLETED	0	2025-03-13 10:47:40.636	39.1s	294ms	30.1%	3.5 MB	7.4 MB	4.6 MB	251.8 KB
2	a4/256413	33163165	NF_VEP:vep:generateSplits (1)	COMPLETED	0	2025-03-13 10:48:23.431	4m 11s	4m 4s	96.4%	24.5 MB	73.2 MB	13 GB	2 GB
142	0a/e94f4c	33163772	NF_VEP:vep:splitVCF (140)	COMPLETED	0	2025-03-13 10:53:02.974	14m 52s	14m 37s	98.8%	26 MB	68.1 MB	11.7 GB	38.8 MB
3	66/4d3580	33163623	NF_VEP:vep:splitVCF (1)	COMPLETED	0	2025-03-13 10:52:35.909	15m 24s	15m 6s	99.5%	26.4 MB	68.1 MB	11.7 GB	38.4 MB
26	a9/63313d	33163646	NF_VEP:vep:splitVCF (24)	COMPLETED	0	2025-03-13 10:52:40.359	15m 20s	15m 3s	99.3%	26.4 MB	68.1 MB	11.7 GB	38.5 MB
53	26/95d158	33163675	NF_VEP:vep:splitVCF (51)	COMPLETED	0	2025-03-13 10:52:45.215	15m 15s	15m 5s	99.0%	26.7 MB	68.1 MB	11.7 GB	38.9 MB
56	53/0e9bca	33163678	NF_VEP:vep:splitVCF (54)	COMPLETED	0	2025-03-13 10:52:45.750	15m 15s	14m 53s	99.3%	26.4 MB	68.1 MB	11.7 GB	38.8 MB
57	89/513c84	33163679	NF_VEP:vep:splitVCF (55)	COMPLETED	0	2025-03-13 10:52:45.984	15m 14s	14m 59s	98.3%	26.4 MB	68.1 MB	11.7 GB	38.8 MB
75	9d/865ba4	33163701	NF_VEP:vep:splitVCF (73)	COMPLETED	0	2025-03-13 10:52:49.564	15m 11s	14m 56s	98.6%	26.5 MB	68.1 MB	11.7 GB	38.6 MB
76	de/50f187	33163702	NF_VEP:vep:splitVCF (74)	COMPLETED	0	2025-03-13 10:52:49.745	15m 11s	14m 56s	98.3%	26.3 MB	68.1 MB	11.7 GB	38.8 MB
98	5c/cf8e7c	33163728	NF_VEP:vep:splitVCF (96)	COMPLETED	0	2025-03-13 10:52:54.357	15m 6s	14m 46s	99.2%	26.4 MB	70.1 MB	11.7 GB	38.9 MB
107	af/c8270d	33163736	NF_VEP:vep:splitVCF (105)	COMPLETED	0	2025-03-13 10:52:55.943	15m 5s	14m 44s	98.9%	26.5 MB	70.1 MB	11.7 GB	38.5 MB
108	13/04febf	33163737	NF_VEP:vep:splitVCF (106)	COMPLETED	0	2025-03-13 10:52:56.163	15m 5s	14m 46s	99.1%	26.4 MB	68.1 MB	11.7 GB	39.4 MB
109	42/a59b6a	33163738	NF_VEP:vep:splitVCF (107)	COMPLETED	0	2025-03-13 10:52:56.353	15m 5s	14m 46s	99.1%	26.6 MB	68.1 MB	11.7 GB	38.9 MB
122	07/34fa43	33163751	NF_VEP:vep:splitVCF (120)	COMPLETED	0	2025-03-13 10:52:58.939	15m 2s	14m 46s	99.3%	26.1 MB	70.1 MB	11.7 GB	37.8 MB
124	ce/73e44e	33163752	NF_VEP:vep:splitVCF (122)	COMPLETED	0	2025-03-13 10:52:59.145	15m 2s	14m 46s	99.2%	26.7 MB	68.1 MB	11.7 GB	39.4 MB
123	11/f1b275	33163753	NF_VEP:vep:splitVCF (121)	COMPLETED	0	2025-03-13 10:52:59.333	15m 2s	14m 46s	99.2%	26.3 MB	68.1 MB	11.7 GB	38.5 MB
125	94/928836	33163754	NF_VEP:vep:splitVCF (123)	COMPLETED	0	2025-03-13 10:52:59.591	15m 2s	14m 46s	99.2%	26.5 MB	68.1 MB	11.7 GB	38.8 MB
126	32/920b24	33163755	NF_VEP:vep:splitVCF (124)	COMPLETED	0	2025-03-13 10:52:59.742	15m 2s	14m 46s	99.2%	26.5 MB	68.1 MB	11.7 GB	39 MB
4	06/8e9140	33163622	NF_VEP:vep:splitVCF (2)	COMPLETED	0	2025-03-13 10:52:35.634	15m 39s	15m 24s	99.5%	26.5 MB	68.1 MB	11.7 GB	38.4 MB
77	2a/7e542d	33163703	NF_VEP:vep:splitVCF (75)	COMPLETED	0	2025-03-13 10:52:49.981	15m 25s	15m	99.3%	26.4 MB	68.1 MB	11.7 GB	38.9 MB
81	77/f1b258	33163706	NF_VEP:vep:splitVCF (79)	COMPLETED	0	2025-03-13 10:52:50.576	15m 24s	15m 15s	97.3%	26.6 MB	68.1 MB	11.7 GB	38.8 MB
80	ab/c5816c	33163707	NF_VEP:vep:splitVCF (78)	COMPLETED	0	2025-03-13 10:52:50.758	15m 24s	15m 15s	97.3%	26.6 MB	68.1 MB	11.7 GB	39.2 MB
83	97/d04241	33163708	NF_VEP:vep:splitVCF (81)	COMPLETED	0	2025-03-13 10:52:50.968	15m 24s	15m 15s	97.6%	26.7 MB	68.1 MB	11.7 GB	38.1 MB
82	eb/4919af	33163709	NF_VEP:vep:splitVCF (80)	COMPLETED	0	2025-03-13 10:52:51.203	15m 24s	15m 15s	97.3%	26.7 MB	68.1 MB	11.7 GB	38.2 MB
84	14/b6e9ba	33163711	NF_VEP:vep:splitVCF (82)	COMPLETED	0	2025-03-13 10:52:51.351	15m 24s	15m 15s	97.3%	26.8 MB	69.1 MB	11.7 GB	38.2 MB
85	17/53ccb1	33163714	NF_VEP:vep:splitVCF (83)	COMPLETED	0	2025-03-13 10:52:51.602	15m 23s	15m 15s	97.3%	26.7 MB	68.1 MB	11.7 GB	39.4 MB
13	3e/e1ab94	33163633	NF_VEP:vep:splitVCF (11)	COMPLETED	0	2025-03-13 10:52:38.033	15m 47s	15m 21s	96.2%	26.5 MB	68.1 MB	11.7 GB	39.1 MB
14	18/e92f48	33163634	NF_VEP:vep:splitVCF (12)	COMPLETED	0	2025-03-13 10:52:38.296	15m 47s	15m 21s	96.2%	26.5 MB	68.1 MB	11.7 GB	39.2 MB
16	0c/625a14	33163635	NF_VEP:vep:splitVCF (14)	COMPLETED	0	2025-03-13 10:52:38.539	15m 46s	15m 12s	98.9%	26.7 MB	68.1 MB	11.7 GB	39.1 MB
52	e9/585876	33163673	NF_VEP:vep:splitVCF (50)	COMPLETED	0	2025-03-13 10:52:45.070	15m 40s	15m 17s	99.3%	26.7 MB	69.1 MB	11.7 GB	38.5 MB
189	39/42866d	33163869	NF_VEP:vep:splitVCF (187)	COMPLETED	0	2025-03-13 10:53:12.139	15m 13s	14m 50s	99.2%	26.7 MB	68.1 MB	11.7 GB	38.8 MB
188	cd/74b59c	33163870	NF_VEP:vep:splitVCF (186)	COMPLETED	0	2025-03-13 10:53:12.371	15m 13s	14m 52s	99.2%	26.7 MB	68.1 MB	11.7 GB	39.1 MB
191	8f/82a0d0	33163871	NF_VEP:vep:splitVCF (189)	COMPLETED	0	2025-03-13 10:53:12.555	15m 13s	14m 53s	99.2%	26.7 MB	68.1 MB	11.7 GB	38.2 MB
193	5c/d89996	33163873	NF_VEP:vep:splitVCF (191)	COMPLETED	0	2025-03-13 10:53:12.951	15m 12s	14m 48s	99.1%	26.5 MB	69.1 MB	11.7 GB	38 MB
190	ac/ef643c	33163872	NF_VEP:vep:splitVCF (188)	COMPLETED	0	2025-03-13 10:53:12.751	15m 12s	14m 50s	99.2%	26.9 MB	68.1 MB	11.7 GB	38.2 MB
192	76/5d0fed	33163874	NF_VEP:vep:splitVCF (190)	COMPLETED	0	2025-03-13 10:53:13.218	15m 12s	14m 50s	99.2%	26.6 MB	68.1 MB	11.7 GB	38.7 MB
86	08/d3d543	33163715	NF_VEP:vep:splitVCF (84)	COMPLETED	0	2025-03-13 10:52:51.768	15m 43s	15m 13s	99.2%	26.6 MB	68.1 MB	11.7 GB	38.9 MB
87	28/57f22d	33163717	NF_VEP:vep:splitVCF (85)	COMPLETED	0	2025-03-13 10:52:52.142	15m 43s	15m 7s	97.5%	26.6 MB	68.1 MB	11.7 GB	38.8 MB
89	4c/dc5ef0	33163718	NF_VEP:vep:splitVCF (87)	COMPLETED	0	2025-03-13 10:52:52.369	15m 43s	15m 23s	96.3%	26.5 MB	68.1 MB	11.7 GB	38.9 MB
90	3c/eb1e59	33163719	NF_VEP:vep:splitVCF (88)	COMPLETED	0	2025-03-13 10:52:52.548	15m 42s	15m 18s	99.0%	26.3 MB	68.1 MB	11.7 GB	39 MB
94	d4/540512	33163723	NF_VEP:vep:splitVCF (92)	COMPLETED	0	2025-03-13 10:52:53.336	15m 42s	15m 34s	95.5%	26.5 MB	68.1 MB	11.7 GB	38.8 MB
