task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	66/8bde8c	39183066	NF_VEP:vep:checkVCF (1)	COMPLETED	0	2025-03-28 22:03:32.551	39s	276ms	31.5%	0	0	4.6 MB	251.8 KB
2	61/9ca51d	39183507	NF_VEP:vep:generateSplits (1)	COMPLETED	0	2025-03-28 22:04:12.424	5m 9s	4m 59s	89.0%	24.4 MB	73.2 MB	13 GB	2 GB
47	82/171a1a	39187177	NF_VEP:vep:splitVCF (45)	COMPLETED	0	2025-03-28 22:09:32.256	15m 55s	15m 35s	99.4%	26.4 MB	68.1 MB	11.7 GB	38.5 MB
46	e7/2eb2d3	39187174	NF_VEP:vep:splitVCF (44)	COMPLETED	0	2025-03-28 22:09:32.092	15m 55s	15m 20s	98.9%	26.3 MB	68.1 MB	11.7 GB	38.4 MB
102	80/eb59e5	39187346	NF_VEP:vep:splitVCF (100)	COMPLETED	0	2025-03-28 22:09:42.372	15m 59s	15m 13s	99.2%	26.7 MB	68.1 MB	11.7 GB	39.3 MB
15	50/7de413	39187056	NF_VEP:vep:splitVCF (13)	COMPLETED	0	2025-03-28 22:09:25.416	16m 31s	15m 48s	99.4%	26.8 MB	68.1 MB	11.7 GB	39.1 MB
49	b5/f21b21	39187184	NF_VEP:vep:splitVCF (47)	COMPLETED	0	2025-03-28 22:09:32.611	16m 24s	16m 11s	99.2%	26.5 MB	68.1 MB	11.7 GB	38.1 MB
12	01/4a5285	39187039	NF_VEP:vep:splitVCF (10)	COMPLETED	0	2025-03-28 22:09:24.504	16m 57s	16m 46s	99.4%	26.4 MB	68.1 MB	11.7 GB	38.8 MB
13	fc/2dc66f	39187043	NF_VEP:vep:splitVCF (11)	COMPLETED	0	2025-03-28 22:09:24.770	16m 57s	16m 26s	98.7%	26.7 MB	68.1 MB	11.7 GB	39.1 MB
51	61/f10762	39187193	NF_VEP:vep:splitVCF (49)	COMPLETED	0	2025-03-28 22:09:33.109	16m 59s	16m 45s	99.2%	26.7 MB	68.1 MB	11.7 GB	38.2 MB
50	c1/b4d159	39187186	NF_VEP:vep:splitVCF (48)	COMPLETED	0	2025-03-28 22:09:32.768	16m 59s	16m 49s	99.3%	26.4 MB	68.1 MB	11.7 GB	38.6 MB
71	cd/569ee2	39187247	NF_VEP:vep:splitVCF (69)	COMPLETED	0	2025-03-28 22:09:36.352	17m 10s	16m 45s	99.3%	26.3 MB	68.1 MB	11.7 GB	38.9 MB
11	12/5ecbcd	39187033	NF_VEP:vep:splitVCF (9)	COMPLETED	0	2025-03-28 22:09:24.252	17m 32s	17m 7s	99.7%	26.7 MB	68.1 MB	11.7 GB	39.6 MB
16	ac/751b3e	39187064	NF_VEP:vep:splitVCF (14)	COMPLETED	0	2025-03-28 22:09:25.666	17m 31s	16m 52s	99.4%	26.4 MB	68.1 MB	11.7 GB	39.1 MB
17	43/aaeb08	39187068	NF_VEP:vep:splitVCF (15)	COMPLETED	0	2025-03-28 22:09:25.859	17m 31s	17m 4s	96.7%	26.7 MB	68.1 MB	11.7 GB	39.4 MB
18	2d/0e8f1a	39187071	NF_VEP:vep:splitVCF (16)	COMPLETED	0	2025-03-28 22:09:26.000	17m 31s	17m 4s	96.9%	26.7 MB	68.1 MB	11.7 GB	39.3 MB
19	3f/260b2f	39187074	NF_VEP:vep:splitVCF (17)	COMPLETED	0	2025-03-28 22:09:26.212	17m 31s	17m 4s	96.5%	26.7 MB	68.1 MB	11.7 GB	38.9 MB
20	97/23f66e	39187077	NF_VEP:vep:splitVCF (18)	COMPLETED	0	2025-03-28 22:09:26.497	17m 31s	17m 4s	96.5%	26.5 MB	68.1 MB	11.7 GB	39.2 MB
101	6f/db04fb	39187342	NF_VEP:vep:splitVCF (99)	COMPLETED	0	2025-03-28 22:09:42.145	17m 15s	17m 12s	98.0%	26.8 MB	68.1 MB	11.7 GB	38.7 MB
14	cc/89e6b4	39187051	NF_VEP:vep:splitVCF (12)	COMPLETED	0	2025-03-28 22:09:25.137	17m 37s	17m 24s	99.8%	26.5 MB	68.1 MB	11.7 GB	39.2 MB
92	b2/8868b6	39187308	NF_VEP:vep:splitVCF (90)	COMPLETED	0	2025-03-28 22:09:39.843	17m 32s	17m 12s	98.2%	26.6 MB	68.1 MB	11.7 GB	39 MB
3	95/d413d1	39187001	NF_VEP:vep:splitVCF (1)	COMPLETED	0	2025-03-28 22:09:22.123	18m 10s	17m 33s	99.8%	26.7 MB	68.1 MB	11.7 GB	38.4 MB
21	0f/72773a	39187084	NF_VEP:vep:splitVCF (19)	COMPLETED	0	2025-03-28 22:09:26.828	18m 5s	17m 25s	97.3%	26.4 MB	68.1 MB	11.7 GB	38.8 MB
23	93/cdfdbe	39187089	NF_VEP:vep:splitVCF (21)	COMPLETED	0	2025-03-28 22:09:27.141	18m 5s	17m 51s	98.5%	26.7 MB	68.1 MB	11.7 GB	38.6 MB
22	30/ed3ed2	39187092	NF_VEP:vep:splitVCF (20)	COMPLETED	0	2025-03-28 22:09:27.353	18m 4s	17m 51s	98.4%	26.7 MB	68.1 MB	11.7 GB	38.6 MB
25	65/dc2011	39187095	NF_VEP:vep:splitVCF (23)	COMPLETED	0	2025-03-28 22:09:27.509	18m 4s	17m 52s	98.3%	26.7 MB	69.1 MB	11.7 GB	38 MB
24	fe/047bcc	39187100	NF_VEP:vep:splitVCF (22)	COMPLETED	0	2025-03-28 22:09:27.779	18m 4s	17m 51s	98.4%	26.6 MB	68.1 MB	11.7 GB	39.2 MB
26	88/9e27cd	39187104	NF_VEP:vep:splitVCF (24)	COMPLETED	0	2025-03-28 22:09:27.954	18m 4s	17m 51s	98.4%	26.7 MB	68.1 MB	11.7 GB	38.5 MB
27	0e/2dc934	39187109	NF_VEP:vep:splitVCF (25)	COMPLETED	0	2025-03-28 22:09:28.167	18m 4s	17m 51s	98.4%	26.8 MB	68.1 MB	11.7 GB	38 MB
28	a9/a4677d	39187113	NF_VEP:vep:splitVCF (26)	COMPLETED	0	2025-03-28 22:09:28.351	18m 4s	17m 51s	98.3%	26.6 MB	68.1 MB	11.7 GB	38.3 MB
29	e6/a1a6b8	39187118	NF_VEP:vep:splitVCF (27)	COMPLETED	0	2025-03-28 22:09:28.543	18m 3s	17m 51s	98.4%	26.6 MB	68.1 MB	11.7 GB	38.2 MB
30	3c/1549d3	39187125	NF_VEP:vep:splitVCF (28)	COMPLETED	0	2025-03-28 22:09:28.923	18m 3s	17m 51s	98.3%	26.6 MB	68.1 MB	11.7 GB	38.7 MB
31	dc/f80491	39187127	NF_VEP:vep:splitVCF (29)	COMPLETED	0	2025-03-28 22:09:29.220	18m 3s	17m 21s	99.1%	26.3 MB	68.1 MB	11.7 GB	38.1 MB
33	60/9b6ba7	39187135	NF_VEP:vep:splitVCF (31)	COMPLETED	0	2025-03-28 22:09:29.727	18m 2s	17m 25s	97.3%	26.5 MB	68.1 MB	11.7 GB	38.4 MB
36	37/086373	39187139	NF_VEP:vep:splitVCF (34)	COMPLETED	0	2025-03-28 22:09:29.849	18m 2s	17m 24s	97.2%	26.5 MB	68.1 MB	11.7 GB	38.1 MB
35	32/3d9b86	39187142	NF_VEP:vep:splitVCF (33)	COMPLETED	0	2025-03-28 22:09:30.019	18m 2s	17m 25s	97.3%	26.5 MB	70.1 MB	11.7 GB	38.1 MB
42	14/16aa8c	39187157	NF_VEP:vep:splitVCF (40)	COMPLETED	0	2025-03-28 22:09:30.901	18m 1s	17m 17s	99.2%	26.7 MB	68.1 MB	11.7 GB	38.5 MB
48	05/afd5c3	39187180	NF_VEP:vep:splitVCF (46)	COMPLETED	0	2025-03-28 22:09:32.439	18m	17m 17s	99.2%	26.6 MB	68.1 MB	11.7 GB	38.8 MB
53	9e/ef14c4	39187196	NF_VEP:vep:splitVCF (51)	COMPLETED	0	2025-03-28 22:09:33.274	17m 59s	17m 20s	99.6%	26.8 MB	68.1 MB	11.7 GB	38.9 MB
54	2a/56593e	39187199	NF_VEP:vep:splitVCF (52)	COMPLETED	0	2025-03-28 22:09:33.461	17m 59s	17m 49s	99.1%	26.7 MB	68.1 MB	11.7 GB	38.9 MB
91	74/71ba5e	39187310	NF_VEP:vep:splitVCF (89)	COMPLETED	0	2025-03-28 22:09:40.010	17m 52s	17m 12s	98.1%	26.7 MB	68.1 MB	11.7 GB	39.3 MB
93	57/4e7939	39187313	NF_VEP:vep:splitVCF (91)	COMPLETED	0	2025-03-28 22:09:40.185	17m 52s	17m 12s	98.1%	26.8 MB	68.1 MB	11.7 GB	38.6 MB
94	96/e67ae2	39187316	NF_VEP:vep:splitVCF (92)	COMPLETED	0	2025-03-28 22:09:40.397	17m 52s	17m 12s	98.0%	26.4 MB	68.1 MB	11.7 GB	38.8 MB
96	86/aaffac	39187322	NF_VEP:vep:splitVCF (94)	COMPLETED	0	2025-03-28 22:09:40.770	17m 52s	17m 12s	98.0%	26.5 MB	68.1 MB	11.7 GB	38.5 MB
95	71/ce26f4	39187326	NF_VEP:vep:splitVCF (93)	COMPLETED	0	2025-03-28 22:09:40.957	17m 51s	17m 12s	98.1%	26.7 MB	68.1 MB	11.7 GB	38.6 MB
97	da/b0bef2	39187329	NF_VEP:vep:splitVCF (95)	COMPLETED	0	2025-03-28 22:09:41.160	17m 51s	17m 12s	98.2%	26.4 MB	68.1 MB	11.7 GB	37.7 MB
98	7a/4e3a2e	39187332	NF_VEP:vep:splitVCF (96)	COMPLETED	0	2025-03-28 22:09:41.389	17m 51s	17m 12s	98.1%	26.2 MB	70.1 MB	11.7 GB	38.9 MB
55	df/ae7908	39187204	NF_VEP:vep:splitVCF (53)	COMPLETED	0	2025-03-28 22:09:33.777	18m 13s	18m 7s	98.4%	26.8 MB	68.1 MB	11.7 GB	38.9 MB
58	3a/4806e5	39187207	NF_VEP:vep:splitVCF (56)	COMPLETED	0	2025-03-28 22:09:33.939	18m 13s	18m 7s	98.5%	26.5 MB	68.1 MB	11.7 GB	39.3 MB
57	21/607ced	39187209	NF_VEP:vep:splitVCF (55)	COMPLETED	0	2025-03-28 22:09:34.140	18m 13s	17m 45s	96.8%	26.8 MB	68.1 MB	11.7 GB	38.8 MB
59	dd/4532b1	39187213	NF_VEP:vep:splitVCF (57)	COMPLETED	0	2025-03-28 22:09:34.349	18m 12s	17m 45s	96.5%	26.5 MB	68.1 MB	11.7 GB	39.4 MB
61	87/585ab4	39187216	NF_VEP:vep:splitVCF (59)	COMPLETED	0	2025-03-28 22:09:34.514	18m 12s	17m 45s	96.5%	26.3 MB	68.1 MB	11.7 GB	39.2 MB
60	b4/298a89	39187218	NF_VEP:vep:splitVCF (58)	COMPLETED	0	2025-03-28 22:09:34.676	18m 12s	17m 14s	95.9%	26.6 MB	68.1 MB	11.7 GB	39.3 MB
62	fa/904cef	39187221	NF_VEP:vep:splitVCF (60)	COMPLETED	0	2025-03-28 22:09:34.832	18m 12s	17m 14s	95.7%	26.5 MB	68.1 MB	11.7 GB	39.2 MB
63	b7/41c570	39187225	NF_VEP:vep:splitVCF (61)	COMPLETED	0	2025-03-28 22:09:34.986	18m 12s	17m 14s	95.6%	26.8 MB	68.1 MB	11.7 GB	38.9 MB
65	f0/bbe03b	39187227	NF_VEP:vep:splitVCF (63)	COMPLETED	0	2025-03-28 22:09:35.112	18m 12s	17m 14s	95.6%	26.8 MB	68.1 MB	11.7 GB	40.3 MB
64	9d/116d59	39187229	NF_VEP:vep:splitVCF (62)	COMPLETED	0	2025-03-28 22:09:35.249	18m 12s	17m 14s	95.5%	26.7 MB	68.1 MB	11.7 GB	39.4 MB
66	90/fd9235	39187233	NF_VEP:vep:splitVCF (64)	COMPLETED	0	2025-03-28 22:09:35.420	18m 12s	17m 14s	95.7%	26.7 MB	68.1 MB	11.7 GB	39 MB
100	9e/ac14f4	39187335	NF_VEP:vep:splitVCF (98)	COMPLETED	0	2025-03-28 22:09:41.619	18m 6s	17m 12s	98.3%	26.5 MB	68.1 MB	11.7 GB	39.6 MB
99	e2/d32dfd	39187338	NF_VEP:vep:splitVCF (97)	COMPLETED	0	2025-03-28 22:09:41.810	18m 5s	17m 12s	98.1%	26.4 MB	68.1 MB	11.7 GB	39.1 MB
32	a9/8a3ef1	39187130	NF_VEP:vep:splitVCF (30)	COMPLETED	0	2025-03-28 22:09:29.376	18m 27s	18m 1s	99.0%	26.5 MB	68.1 MB	11.7 GB	38.4 MB
34	b5/913263	39187132	NF_VEP:vep:splitVCF (32)	COMPLETED	0	2025-03-28 22:09:29.534	18m 27s	18m 8s	98.9%	26.5 MB	68.1 MB	11.7 GB	38.1 MB
41	58/a69383	39187161	NF_VEP:vep:splitVCF (39)	COMPLETED	0	2025-03-28 22:09:31.233	18m 26s	17m 55s	99.3%	26.7 MB	68.1 MB	11.7 GB	38.5 MB
43	1a/813c49	39187164	NF_VEP:vep:splitVCF (41)	COMPLETED	0	2025-03-28 22:09:31.444	18m 26s	17m 42s	99.3%	26.5 MB	68.1 MB	11.7 GB	38.3 MB
44	b6/f801f4	39187167	NF_VEP:vep:splitVCF (42)	COMPLETED	0	2025-03-28 22:09:31.612	18m 26s	18m 12s	98.9%	26.5 MB	68.1 MB	11.7 GB	38.2 MB
45	da/ffe781	39187170	NF_VEP:vep:splitVCF (43)	COMPLETED	0	2025-03-28 22:09:31.882	18m 25s	17m 54s	97.5%	26.7 MB	69.1 MB	11.7 GB	38.4 MB
52	3a/bd800a	39187189	NF_VEP:vep:splitVCF (50)	COMPLETED	0	2025-03-28 22:09:32.939	18m 24s	18m 1s	98.9%	26.6 MB	69.1 MB	11.7 GB	38.5 MB
56	f9/40f19a	39187202	NF_VEP:vep:splitVCF (54)	COMPLETED	0	2025-03-28 22:09:33.606	18m 24s	18m 7s	98.5%	26.9 MB	68.1 MB	11.7 GB	38.8 MB
67	bd/d8c0e9	39187236	NF_VEP:vep:splitVCF (65)	COMPLETED	0	2025-03-28 22:09:35.599	18m 22s	18m 10s	98.4%	26.4 MB	68.1 MB	11.7 GB	38.8 MB
69	2d/c90ee5	39187241	NF_VEP:vep:splitVCF (67)	COMPLETED	0	2025-03-28 22:09:35.928	18m 22s	18m 10s	96.5%	26.5 MB	68.1 MB	11.7 GB	38 MB
70	18/747510	39187244	NF_VEP:vep:splitVCF (68)	COMPLETED	0	2025-03-28 22:09:36.161	18m 22s	18m 10s	96.3%	26.6 MB	69.1 MB	11.7 GB	38 MB
81	ff/0aea7d	39187279	NF_VEP:vep:splitVCF (79)	COMPLETED	0	2025-03-28 22:09:38.237	18m 20s	17m 44s	99.2%	26.5 MB	68.1 MB	11.7 GB	38.8 MB
84	63/bce511	39187281	NF_VEP:vep:splitVCF (82)	COMPLETED	0	2025-03-28 22:09:38.396	18m 20s	17m 33s	99.2%	26.9 MB	69.1 MB	11.7 GB	38.2 MB
83	7e/0c8c2a	39187284	NF_VEP:vep:splitVCF (81)	COMPLETED	0	2025-03-28 22:09:38.573	18m 19s	17m 47s	99.0%	26.3 MB	68.1 MB	11.7 GB	38.1 MB
